PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
408. Mathieu Olivier,CBJ,27,RW,Right,54,5,7,12,0.22,-4,55,0.09,11:16,-,-,-,-,-,,UFA,"$1,100,000","$1,100,000"
409. Travis Hamonic,OTT,33,RD,Right,48,2,4,6,0.13,-10,50,0.04,14:44,-,-,-,-,-,NMC,UFA,"$1,100,000","$1,100,000"
410. Charlie Lindgren,WSH,30,G,Right,50,-,-,-,-,-,-,-,-,25,16,6,2.67,.911,,UFA,"$1,100,000","$1,000,000"
411. Ross Johnston,ANA,30,LW,Left,68,1,3,4,0.06,-12,44,0.02,08:11,-,-,-,-,-,,UFA,"$1,100,000","$1,100,000"
412. Conor Timmins,TOR,25,RD,Right,25,1,9,10,0.40,9,25,0.04,16:01,-,-,-,-,-,,RFA,"$1,100,000","$1,100,000"
413. Daniil Tarasov,CBJ,25,G,Left,24,-,-,-,-,-,-,-,-,8,11,0,3.18,.908,,RFA,"$1,050,000","$1,350,000"
414. Logan O'Connor,COL,27,"RW, LW",Right,57,13,12,25,0.44,13,85,0.15,14:57,-,-,-,-,-,,UFA,"$1,050,000","$1,250,000"
415. Kevin Bahl,CGY,24,LD,Left,82,1,10,11,0.13,1,63,0.02,17:23,-,-,-,-,-,,RFA,"$1,050,000","$1,200,000"
416. Curtis Lazar,NJD,29,"RW, C",Right,71,7,18,25,0.35,10,74,0.09,12:23,-,-,-,-,-,,UFA,"$1,000,000","$1,000,000"
417. Andreas Englund,LAK,28,LD,Left,82,1,9,10,0.12,-3,41,0.02,13:13,-,-,-,-,-,,UFA,"$1,000,000","$1,000,000"
418. Rasmus Kupari,WPG,24,"C, LW, RW",Right,28,0,1,1,0.04,-5,28,0.00,09:08,-,-,-,-,-,,RFA,"$1,000,000","$1,100,000"
419. Cole Smith,NSH,28,"RW, LW",Left,80,9,14,23,0.29,5,112,0.08,13:41,-,-,-,-,-,,UFA,"$1,000,000","$1,000,000"
420. David Rittich,LAK,31,G,Left,24,-,-,-,-,-,-,-,-,13,6,3,2.16,.921,,UFA,"$1,000,000","$1,000,000"
421. Vasily Podkolzin,VAN,23,"RW, LW",Left,19,0,2,2,0.11,-4,20,0.00,10:48,-,-,-,-,-,,RFA,"$1,000,000","$1,000,000"
422. Martin Pospisil,CGY,24,RW,Left,63,8,16,24,0.38,14,117,0.07,12:43,-,-,-,-,-,,RFA,"$1,000,000","$1,000,000"
423. Darren Raddysh,TBL,28,RD,Right,82,6,27,33,0.40,-3,101,0.06,19:06,-,-,-,-,-,,UFA,"$975,000","$1,114,000"
424. Ben Hutton,VGK,31,LD,Left,41,2,8,10,0.24,12,67,0.03,16:15,-,-,-,-,-,,UFA,"$975,000","$975,000"
425. Arvid Söderblom,CHI,24,G,Left,32,-,-,-,-,-,-,-,-,5,22,0,3.92,.879,,RFA,"$962,500","$1,000,000"
426. Adam Fantilli,CBJ,19,C,Left,49,12,15,27,0.55,-21,115,0.10,15:42,-,-,-,-,-,,RFA,"$950,000","$950,000"
427. Zach Benson,BUF,19,LW,Left,71,11,19,30,0.42,-3,98,0.11,14:31,-,-,-,-,-,,RFA,"$950,000","$950,000"
428. Gavin Brindley,CBJ,19,C,Right,1,0,0,0,0.00,0,0,0.00,12:20,-,-,-,-,-,,10.2(c),"$950,000","$950,000"
429. Oscar Eklind,PHI,25,"LW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
430. Ivan Miroshnichenko,WSH,20,LW,Right,21,2,4,6,0.29,-4,30,0.07,12:08,-,-,-,-,-,,RFA,"$950,000","$950,000"
431. Mikuláš Hovorka,FLA,23,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
432. Theo Lindstein,STL,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
433. Leo Carlsson,ANA,19,C,Left,55,12,17,29,0.53,-11,109,0.11,18:06,-,-,-,-,-,,RFA,"$950,000","$950,000"
434. Seamus Casey,NJD,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
435. Hunter McKown,CBJ,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
436. Connor Bedard,CHI,18,C,Right,68,22,39,61,0.90,-44,206,0.11,19:47,-,-,-,-,-,,RFA,"$950,000","$950,000"
437. Stephen Halliday,OTT,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
438. Cooper Black,FLA,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$950,000","$950,000"
439. Lane Hutson,MTL,20,LD,Left,2,0,2,2,1.00,-2,3,0.00,22:43,-,-,-,-,-,,RFA,"$950,000","$950,000"
440. Axel Sandin Pellikka,DET,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
441. Riley Heidt,MIN,19,"C, LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
442. Carl Berglund,EDM,24,"C, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
443. Nikita Tolopilo,VAN,24,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$950,000","$950,000"
444. Frank Nazar,CHI,20,"RW, C",Right,3,1,0,1,0.33,-4,2,0.50,16:08,-,-,-,-,-,,10.2(c),"$950,000","$950,000"
445. Hunter Brzustewicz,CGY,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
446. Dysin Mayo,VGK,27,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$950,000","$1,000,000"
447. Ben Steeves,FLA,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
448. Cutter Gauthier,ANA,20,"LW, C",Left,1,0,1,1,1.00,1,3,0.00,15:24,-,-,-,-,-,,10.2(c),"$950,000","$950,000"
449. Mikael Diotte,NJD,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
450. Otto Stenberg,STL,19,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
451. Juraj Slafkovsky,MTL,20,"RW, LW",Left,82,20,30,50,0.61,-19,152,0.13,17:56,-,-,-,-,-,,RFA,"$950,000","$950,000"
452. Valtteri Pulli,SJS,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$950,000","$950,000"
