PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
660. Ethan Cardwell,SJS,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
661. Jayden Grubbe,EDM,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
662. Daniil Misyul,NJD,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
663. Dylan Peterson,STL,22,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
664. Justin Ertel,DAL,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
665. Dylan Duke,TBL,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
666. Simon Robertsson,STL,21,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
667. Maxwell Crozier,TBL,24,RD,Right,13,0,2,2,0.15,-2,13,0.00,12:56,-,-,-,-,-,,RFA,"$867,500","$867,500"
668. Magnus Chrona,SJS,23,G,Left,9,-,-,-,-,-,-,-,-,1,6,0,4.71,.859,,RFA,"$867,500","$867,500"
669. Tristan Lennox,NYI,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$867,500","$867,500"
670. Eetu Liukas,NYI,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
671. Riley Duran,BOS,22,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
672. Niko Huuhtanen,TBL,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
673. Caedan Bankier,MIN,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
674. Leo Lööf,STL,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
675. Ville Ottavainen,SEA,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
676. Alex Jefferies,NYI,22,LW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
677. Trevor Kuntar,BOS,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$867,500","$867,500"
678. Jakub Stancl,STL,19,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$866,667","$865,000"
679. Florian Xhekaj,MTL,20,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$866,667","$870,000"
680. Caden Price,SEA,18,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,833","$867,500"
681. Hunter Haight,MIN,20,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,833","$870,000"
682. Marek Alscher,FLA,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,000","$870,000"
683. Tristan Luneau,ANA,20,RD,Right,7,1,2,3,0.43,1,11,0.09,17:52,-,-,-,-,-,,RFA,"$865,000","$870,000"
684. Noel Nordh,UTA,19,"RW, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,000","$865,000"
685. Noah Warren,ANA,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,000","$870,000"
686. Anton Wahlberg,BUF,18,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,000","$870,000"
687. Ethan Gauthier,TBL,19,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,000","$870,000"
688. Kyle Masters,MIN,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,000","$865,000"
689. Gavin Hayes,CHI,20,LW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,000","$870,000"
690. Yegor Sidorov,ANA,20,"RW, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$865,000","$865,000"
691. Evan Nause,FLA,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$864,167","$892,500"
692. Brandt Clarke,LAK,21,RD,Right,16,2,4,6,0.38,-6,31,0.06,13:39,-,-,-,-,-,,RFA,"$863,333","$832,500"
693. Sebastian Cossa,DET,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$863,333","$832,500"
694. Brennan Othmann,NYR,21,LW,Left,3,0,0,0,0.00,0,6,0.00,09:05,-,-,-,-,-,,RFA,"$863,333","$832,500"
695. Tyson Foerster,PHI,22,RW,Right,77,20,13,33,0.43,0,167,0.12,17:16,-,-,-,-,-,,RFA,"$863,333","$832,500"
696. Jack Quinn,BUF,22,"RW, LW",Right,27,9,10,19,0.70,-1,56,0.16,15:38,-,-,-,-,-,,RFA,"$863,333","$832,500"
697. Tyler Boucher,OTT,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$832,500"
698. Chase Stillman,NJD,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$832,500"
699. Beau Akey,EDM,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$870,000"
700. Kalle Väisänen,NYR,21,LW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$860,000"
701. Chase Stillman,NJD,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$832,500"
702. Beau Akey,EDM,19,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$870,000"
703. Kalle Väisänen,NYR,21,LW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$860,000"
704. Marco Rossi,MIN,22,C,Left,82,21,19,40,0.49,-4,167,0.13,16:43,-,-,-,-,-,,RFA,"$863,333","$832,500"
705. Zachary Bolduc,STL,21,LW,Left,25,5,4,9,0.36,0,38,0.13,12:00,-,-,-,-,-,,RFA,"$863,333","$832,500"
706. Hendrix Lapierre,WSH,22,C,Left,51,8,14,22,0.43,-1,51,0.16,11:26,-,-,-,-,-,,RFA,"$863,333","$832,500"
707. Connor Zary,CGY,22,"LW, C",Left,63,14,20,34,0.54,12,90,0.16,15:16,-,-,-,-,-,,RFA,"$863,333","$832,500"
708. Oskar Olausson,COL,21,RW,Left,1,0,0,0,0.00,0,2,0.00,11:50,-,-,-,-,-,,RFA,"$863,333","$832,500"
709. Carson Lambos,MIN,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$832,500"
710. Jacob Perreault,MTL,22,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$832,500"
711. Fabian Lysell,BOS,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$863,333","$832,500"
712. William Eklund,SJS,21,LW,Left,80,16,29,45,0.56,-45,128,0.13,18:39,-,-,-,-,-,,RFA,"$863,333","$832,500"
713. Gleb Trikozov,CAR,19,"LW, RW, C",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$862,500","$862,500"
714. Noel Gunler,CAR,22,"RW, LW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$862,500","$862,500"
715. Jared Davidson,MTL,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$862,500","$860,000"
716. David Spacek,MIN,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$862,500","$862,500"
717. Chase Wheatcroft,DAL,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$862,500","$870,000"
718. Nolan Burke,NSH,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$861,667","$870,000"
719. Lucas Edmonds,TBL,23,"RW, LW",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$861,667","$870,000"
720. Michael Milne,MIN,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$861,667","$870,000"
721. Luca Del Bel Belluz,CBJ,20,C,Left,1,1,0,1,1.00,1,2,0.50,09:35,-,-,-,-,-,,RFA,"$860,000","$870,000"
722. Frédéric Brunet,BOS,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$860,000","$860,000"
723. Artem Guryev,SJS,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$860,000","$860,000"
724. Alexis Gendron,PHI,20,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$860,000","$860,000"
725. Connor Ungar,EDM,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$860,000","$860,000"
726. Coulson Pitre,ANA,19,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$860,000","$860,000"
727. Jordan Dumais,CBJ,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$860,000","$870,000"
728. Henry Rybinski,WSH,23,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
729. Henri Nikkanen,WPG,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
730. Ryder Korczak,NYR,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
731. Ty Glover,VAN,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
732. William Dufour,NYI,22,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
733. Maksymilian Szuber,UTA,21,LD,Left,1,0,0,0,0.00,-1,1,0.00,16:59,-,-,-,-,-,,RFA,"$859,167","$860,000"
734. Taylor Gauthier,PIT,23,G,Right,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$859,167","$867,500"
735. Zach Uens,FLA,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
736. Nathan Staios,FLA,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
737. Jordan Frasca,PIT,22,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
738. Cross Hanas,DET,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
739. Tye Kartye,SEA,23,"LW, C",Left,77,11,9,20,0.26,-1,109,0.10,11:50,-,-,-,-,-,,RFA,"$859,167","$867,500"
740. Alexander Kisakov,BUF,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
741. Lukas Svejkovsky,PIT,22,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
742. Jalen Luypen,CHI,22,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
743. Bennett MacArthur,TBL,23,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
744. Bogdan Trineyev,WSH,22,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$859,167","$867,500"
745. Max McCue,CBJ,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$858,333","$857,500"
746. Cameron Butler,CBJ,22,RW,Right,1,0,0,0,0.00,0,0,0.00,00:54,-,-,-,-,-,,RFA,"$858,333","$857,500"
747. Jesper Vikman,VGK,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$858,000","$858,000"
748. Gavin White,DAL,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$857,500","$870,000"
749. Parker Bell,CGY,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$857,500","$857,500"
750. William Trudeau,MTL,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$856,667","$860,000"
751. Roni Hirvonen,TOR,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$856,667","$860,000"
752. Topi Niemelä,TOR,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$856,667","$860,000"
753. John-Jason Peterka,BUF,22,"LW, RW",Left,82,28,22,50,0.61,10,226,0.12,16:23,-,-,-,-,-,,RFA,"$855,833","$832,500"
754. Ryan O'Rourke,MIN,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$855,833","$832,500"
755. Ethan Del Mastro,CHI,21,LD,Left,2,0,0,0,0.00,0,0,0.00,18:34,-,-,-,-,-,,RFA,"$855,833","$867,500"
756. Carter Gylander,DET,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$855,000","$855,000"
757. Xavier Simoneau,MTL,23,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$855,000","$855,000"
758. Hugo Ollas,NYR,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$855,000","$855,000"
759. Sandis Vilmanis,FLA,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$855,000","$855,000"
760. Owen Beck,MTL,20,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$853,333","$870,000"
761. Jaxsen Wiebe,ANA,22,"RW, C",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$852,500","$852,500"
762. Aatu Jämsen,LAK,21,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$852,500","$852,500"
763. Kaleb Lawrence,LAK,21,RW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$852,500","$852,500"
764. Zach Dean,STL,21,C,Left,9,0,0,0,0.00,-4,10,0.00,10:33,-,-,-,-,-,,RFA,"$852,500","$832,500"
765. Vyacheslav Buteyets,ANA,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$852,500","$852,500"
766. Jakub Demek,VGK,21,"RW, C",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$851,683","$852,000"
767. Sam Lipkin,UTA,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$851,667","$850,000"
768. Ryan Tverberg,TOR,22,"RW, C",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$851,667","$850,000"
769. Jeremy Hanzel,NSH,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$851,667","$855,000"
770. Ryan Hofer,WSH,22,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$851,667","$855,000"
771. Artur Akhtiamov,TOR,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$851,667","$850,000"
772. Vyacheslav Peksa,TOR,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$851,667","$850,000"
773. Talyn Boyko,NYR,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$850,833","$860,000"
774. Dylan Roobroeck,NYR,19,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$850,000","$850,000"
775. Sam Malinski,COL,25,RD,Right,23,3,7,10,0.43,3,31,0.10,14:13,-,-,-,-,-,,RFA,"$850,000","$850,000"
776. Juha Jääskä,CAR,26,"LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$850,000","$850,000"
777. Tyson Kozak,BUF,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$850,000","$855,556"
778. Joni Jurmo,CGY,22,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$850,000","$850,000"
779. Ronnie Attard,PHI,25,RD,Right,12,0,2,2,0.17,1,14,0.00,15:23,-,-,-,-,-,,RFA,"$850,000","$925,000"
780. Benjamin Kraws,DAL,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$850,000","$850,000"
781. Matthew Seminoff,DAL,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$850,000","$850,000"
782. Uvis Balinskis,FLA,27,LD,Left,26,1,2,3,0.12,0,22,0.05,14:06,-,-,-,-,-,,UFA,"$850,000","$850,000"
783. Tyrel Bauer,WPG,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$850,000","$855,000"
784. Jean-Luc Foudy,COL,22,C,Right,4,1,0,1,0.25,1,2,0.50,06:26,-,-,-,-,-,,RFA,"$847,500","$832,500"
785. Justin Sourdif,FLA,22,C,Right,3,0,0,0,0.00,0,2,0.00,08:50,-,-,-,-,-,,RFA,"$847,500","$832,500"
786. Helge Grans,PHI,22,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$847,500","$832,500"
787. Samuel Knazko,CBJ,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$847,500","$832,500"
788. Antonio Stranges,DAL,22,"C, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$846,667","$830,000"
789. Rory Kerins,CGY,22,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$846,667","$855,000"
790. Mikko Kokkonen,TOR,23,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$846,667","$855,000"
791. Adam Edström,NYR,23,"C, LW",Left,11,2,0,2,0.18,2,7,0.29,08:24,-,-,-,-,-,,RFA,"$846,667","$855,000"
792. Vadim Zherenko,STL,23,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$846,667","$855,000"
793. Pavel Novak,MIN,22,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$846,667","$855,000"
794. Samuel Savoie,CHI,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$846,667","$870,000"
795. Ethan Samson,PHI,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$846,667","$865,000"
796. Koehn Ziemmer,LAK,19,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$845,833","$875,000"
797. Ivan Ivan,COL,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$845,000","$845,000"
798. Francesco Pinelli,LAK,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$845,000","$867,500"
799. Austin Roest,NSH,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$845,000","$845,000"
800. Emmitt Finnie,DET,19,"C, LW, RW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$845,000","$845,000"
801. Ruslan Khazheyev,CAR,19,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$845,000","$845,000"
802. Olen Zellweger,ANA,20,LD,Left,26,2,7,9,0.35,-6,34,0.06,19:17,-,-,-,-,-,,RFA,"$844,167","$832,500"
803. Raivis Ansons,PIT,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$844,167","$852,500"
804. Dennis Hildeby,TOR,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$843,333","$855,000"
805. Garin Bjorklund,WSH,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$843,333","$850,000"
806. Jake Chiasson,EDM,21,C,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$843,333","$845,000"
807. Jake Furlong,SJS,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$841,667","$862,500"
808. James Malatesta,CBJ,21,LW,Left,11,2,2,4,0.36,-1,12,0.17,10:13,-,-,-,-,-,,RFA,"$841,667","$862,500"
809. Will Cranley,STL,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$841,667","$850,000"
810. Jaydon Dureau,TBL,23,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$841,667","$850,000"
811. Thomas Milic,WPG,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$841,667","$835,000"
812. Daylan Kuefler,NYI,22,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$840,000","$840,000"
813. Carl Lindbom,VGK,21,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$840,000","$840,000"
814. Elias Pettersson,VAN,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
815. Bryce McConnell-Barker,NYR,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
816. Isaiah George,NYI,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
817. Emil Pieniniemi,PIT,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
818. Kalan Lind,NSH,19,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
819. Sawyer Mynio,VAN,19,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
820. Josh Filmon,NJD,20,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
821. Amadeus Lombardi,DET,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
822. Michael Buchinger,STL,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$838,333","$870,000"
823. Cole Krygier,LAK,24,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$837,500","$837,500"
824. Judd Caulfield,ANA,23,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$837,500","$837,500"
825. Justus Annunen,COL,24,G,Left,14,-,-,-,-,-,-,-,-,8,4,2,2.25,.928,,RFA,"$837,500","$800,000"
826. Rémi Poirier,DAL,22,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$836,667","$845,000"
827. Riley Kidney,MTL,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$867,500"
828. Topias Vilén,NJD,21,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$867,500"
829. Anttoni Honka,CAR,23,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$835,000"
830. Olivier Nadeau,BUF,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$867,500"
831. Aatu Räty,VAN,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$800,000"
832. Mitchell Russell,SJS,23,"RW, C",Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$845,000"
833. Ilya Nikolayev,CGY,23,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$845,000"
834. Josh Bloom,VAN,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$867,500"
835. Gannon Laroque,SJS,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$867,500"
836. Brett Harrison,BOS,21,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$867,500"
837. Ty Nelson,SEA,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$867,500"
838. Joe Fleming,VGK,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$836,667","$867,500"
839. Ozzy Wiesblatt,SJS,22,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$835,833","$832,500"
840. Jake Neighbours,STL,22,"LW, RW",Left,77,27,11,38,0.49,-16,145,0.19,15:42,-,-,-,-,-,,RFA,"$835,833","$832,500"
841. Oskar Pettersson,OTT,20,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$835,000","$865,000"
842. Joshua Roy,MTL,20,"LW, RW",Left,23,4,5,9,0.39,-2,34,0.12,12:08,-,-,-,-,-,,RFA,"$835,000","$860,000"
843. Vsevolod Komarov,BUF,20,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$835,000","$865,000"
844. Mark Kastelic,OTT,25,"C, RW",Right,63,5,5,10,0.16,-5,60,0.08,07:43,-,-,-,-,-,,RFA,"$835,000","$870,000"
845. Danila Klimovich,VAN,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$833,333","$800,000"
846. Felix Unger Sörum,CAR,18,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$831,667","$860,000"
847. Jackson Edward,BOS,20,LD,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$831,667","$860,000"
848. Samu Tuomaala,PHI,21,RW,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$830,833","$800,000"
849. Ryan Mast,BOS,21,RD,Right,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$830,556","$855,000"
850. Fabian Wagner,WPG,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$830,556","$860,000"
851. Domenic DiVincentiis,WPG,20,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,,RFA,"$830,556","$860,000"
852. Jordan Gustafson,VGK,20,C,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$830,000","$857,500"
853. Lucas Ciona,CGY,21,LW,Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,RFA,"$830,000","$857,500"
