player,team,age,position,contract_status,cap_hit,signing_year,expiry_status
Isaak Phillips,CHI,22,LD,Left,33,0,6
Félix Robert,TBL,24,"C, LW",Left,0,0,0
Cole Schwindt,CGY,23,"RW, C",Right,4,0,0
Samuel Walker,MIN,25,"RW, LW",Right,4,0,0
Peetro Seppälä,SEA,23,LD,Left,0,0,0
Oskari Salminen,WPG,24,G,Left,0,-,-
Simon Johansson,MIN,25,RD,Right,0,0,0
Olof Lindbom,NYR,23,G,Left,0,-,-
Pavol Regenda,ANA,24,"LW, RW",Left,5,0,0
Santtu Kinnunen,FLA,25,RD,Right,0,0,0
Calle Själin,BUF,24,LD,Left,0,0,0
Sam Hentges,MIN,24,C,Right,0,0,0
Ruslan Iskhakov,NYI,23,C,Left,1,0,1
Simon Lundmark,WPG,23,RD,Right,0,0,0
Juuso Pärssinen,NSH,23,C,Left,44,8,4
Santeri Hatakka,NJD,23,LD,Left,12,0,2
Hugo Alnefelt,TBL,23,G,Left,0,-,-
Tyler Angle,CBJ,23,C,Left,2,0,0
Brandon Coe,SJS,22,RW,Right,0,0,0
Hunter Skinner,STL,23,RD,Right,0,0,0
Louis Crevier,CHI,23,RD,Right,24,0,3
Marc Del Gaizo,NSH,24,LD,Left,9,0,3
Akira Schmid,NJD,24,G,Left,19,-,-
Maxim Cajkovic,PIT,23,RW,Right,0,0,0
Michael Vukojevic,NJD,23,LD,Left,0,0,0
Graeme Clarke,MIN,23,"RW, C",Right,3,0,0
Nico Daws,NJD,23,G,Left,21,-,-
Sam Carrick,EDM,32,"C, RW",Right,77,10,6
Taro Hirose,DET,28,LW,Left,0,0,0
Denis Gurianov,PHI,27,"RW, LW",Left,18,1,1
Sam Steel,DAL,26,"C, LW",Left,77,9,15
Urho Vaakanainen,ANA,25,LD/RD,Left,68,1,13
Jack Rathbone,PIT,25,LD,Left,0,0,0
Jansen Harkins,PIT,27,LW,Left,45,0,4
Dylan Coghlan,CAR,26,RD,Right,1,0,0
Filip Cederqvist,MTL,23,"LW, RW",Left,0,0,0
Isaiah Saville,VGK,23,G,Right,0,-,-
Adam Raska,MIN,22,"LW, RW",Right,5,0,0
Gianni Fairbrother,COL,23,LD/RD,Left,0,0,0
Noel Hoefenmayer,EDM,25,LD,Left,0,0,0
Adam Wilsby,NSH,23,LD,Left,0,0,0
Max Ellis,TOR,24,RW,Right,0,0,0
Ukko-Pekka Luukkonen,BUF,25,G,Left,54,-,-
Curtis Douglas,UTA,24,C,Left,0,0,0
Dmitry Ovchinnikov,MIN,21,"C, LW, RW",Left,0,0,0
Nick Cicek,VAN,24,LD,Left,0,0,0
Alex Steeves,TOR,24,"LW, RW",Left,1,0,0
Adam Klapka,CGY,23,"RW, C",Right,6,1,0
Reece Newkirk,NYI,23,C,Left,0,0,0
Arber Xhekaj,MTL,23,LD/RD,Left,44,3,7
Ilya Solovyov,CGY,23,LD,Left,10,0,3
Alexander Pashin,-,21,"C, LW, RW",Left,0,0,0
Pavel Dorofeyev,VGK,23,"LW, RW",Left,47,13,11
Mason Primeau,VGK,22,C,Left,0,0,0
Calen Addison,SJS,24,RD,Right,72,1,16
Joseph Veleno,DET,24,C,Left,80,12,16
Pierre-Olivier Joseph,PIT,25,LD,Left,52,2,9
Nick Blankenburg,CBJ,26,LD/RD,Right,12,1,0
Jonathan Drouin,COL,29,"LW, RW",Left,79,19,37
Erik Gustafsson,NYR,32,LD,Left,76,6,25
Sebastian Aho,NYI,28,LD,Left,58,2,7
Tuukka Tieksola,CAR,23,RW,Right,0,0,0
Jordan Spence,LAK,23,RD,Right,71,2,22
Michal Teplý,CHI,23,LW,Right,0,0,0
Mason Millman,PHI,22,LD,Left,0,0,0
Keith Petruzzelli,TOR,25,G,Left,0,-,-
Milos Kelemen,UTA,24,RW,Left,10,0,1
Nikita Alexandrov,STL,23,C,Left,23,0,2
Dustin Wolf,CGY,23,G,Left,17,-,-
Patrick Giles,FLA,24,C,Right,0,0,0
Mikhail Abramov,STL,23,C,Left,0,0,0
James Hamblin,EDM,25,"RW, C",Left,31,2,1
Andreas Johnsson,-,29,"LW, RW",Left,0,0,0
Otto Koivula,NYI,25,"LW, RW, C",Left,0,0,0
Mike Hardman,CHI,25,"LW, RW",Left,0,0,0
Joey Anderson,CHI,26,RW,Right,55,5,12
Joe Snively,WSH,28,LW,Left,3,0,0
Cal Foote,NJD,25,RD,Right,4,0,1
Mackenzie Entwistle,CHI,24,"LW, C",Right,67,5,6
Hayden Hodgson,LAK,28,RW,Right,0,0,0
Ryan Lomberg,FLA,29,"LW, RW",Left,75,5,2
Blake Wheeler,NYR,37,RW,Right,54,9,12
Steven Santini,LAK,29,RD,Right,0,0,0
Mark Giordano,TOR,40,LD,Left,46,3,6
Oskar Steen,BOS,26,"C, RW",Right,34,1,0
Nick Bonino,-,36,"C, LW",Left,45,1,4
Chad Ruhwedel,NYR,34,RD,Right,52,1,3
Reese Johnson,CHI,25,"RW, C",Right,42,2,3
Alex Stalock,ANA,36,G,Left,0,-,-
Travis Dermott,UTA,27,LD/RD,Left,50,2,5
Tyler Motte,TBL,29,"LW, RW",Left,69,6,3
Connor Dewar,TOR,25,"LW, C",Left,74,11,8
Matthew Robertson,NYR,23,LD,Left,0,0,0
Nicholas Robertson,TOR,22,"LW, RW",Left,56,14,13
Blake Murray,CAR,22,C,Left,0,0,0
Luke Henman,SEA,24,C,Left,0,0,0
Griffin Mendel,CAR,25,LD,Left,0,0,0
Egor Afanasyev,SJS,23,"C, LW",Left,2,0,0
Artemi Kniazev,WPG,23,LD,Left,0,0,0
Dillon Hamaliuk,PIT,23,LW,Left,0,0,0
Nikita Okhotiuk,CGY,23,LD,Left,52,1,8
Kaedan Korczak,VGK,23,RD,Right,26,1,8
Tynan,LAK,32,C,Right,0,0,0
Jared McIsaac,DET,24,LD,Left,0,0,0
Hunter Jones,MIN,23,G,Left,0,-,-
Tyler Pitlick,NYR,32,RW,Right,34,1,3
Wyatt Newpower,DET,26,RD,Right,0,0,0
Arturs Silovs,VAN,23,G,Left,4,-,-
Magnus Hellberg,FLA,33,G,Left,3,-,-
Wade Allison,NSH,26,RW,Right,0,0,0
Marcus Kallionkieli,-,23,C,Left,0,0,0
Austin Watson,TBL,32,"RW, LW",Right,33,2,2
Malcolm Subban,CBJ,30,G,Left,1,-,-
Dakota Mermis,MIN,30,LD/RD,Left,47,3,5
Kale Clague,BUF,26,LD/RD,Left,3,0,1
Riley Tufte,COL,26,LW,Left,5,1,1
Casey Fitzgerald,FLA,27,RD,Right,0,0,0
Caleb Jones,COL,27,LD/RD,Left,25,0,5
Brian Pinho,NYI,29,"C, RW",Right,0,0,0
Marian Studenic,SEA,25,"LW, RW",Left,2,0,0
Mason Shaw,MIN,25,"LW, C",Left,20,1,2
Kyle Keyser,BOS,25,G,Left,0,-,-
Jiri Patera,VGK,25,G,Left,6,-,-
Wyatt Kalynuk,STL,27,LD,Left,0,0,0
Jesse Ylönen,MTL,24,"RW, LW",Right,59,4,4
Jasper Weatherby,NSH,26,C,Left,0,0,0
Jeffrey Viel,WPG,27,LW,Left,0,0,0
Aaron Dell,LAK,35,G,Left,0,-,-
Pierre-Édouard Bellemare,SEA,39,"C, LW",Left,40,4,3
Devin Shore,SEA,29,"LW, C, RW",Left,21,1,3
Felix Sandström,PHI,27,G,Left,5,-,-
Danton Heinen,BOS,28,"LW, RW",Left,74,17,19
Cam Dineen,EDM,26,LD,Left,0,0,0
Travis Barron,UTA,25,LW,Left,0,0,0
Nolan Stevens,-,27,C,Left,0,0,0
Jesper Boqvist,BOS,25,"C, LW",Left,47,6,8
Zach Aston-Reese,DET,29,"LW, RW",Left,3,0,0
Brett Leason,ANA,25,RW,Right,68,11,11
Jacob Peterson,SJS,24,"LW, C",Left,6,0,0
Yegor Zamula,PHI,24,LD/RD,Left,66,5,16
Karson Kuhlman,NYI,28,RW,Right,0,0,0
Mac Hollowell,NYR,25,RD,Right,0,0,0
Alex True,FLA,26,"C, RW",Left,0,0,0
Joel Kiviranta,COL,28,"RW, LW",Left,56,3,6
Justin Richards,BUF,26,"C, RW",Right,0,0,0
Marc McLaughlin,BOS,24,C,Right,1,1,0
Wyatt Aamodt,COL,26,LD,Left,0,0,0
Derrick Pouliot,DAL,30,LD,Left,5,0,0
Keith Kinkaid,NJD,34,G,Left,0,-,-
Dustin Tokarski,BUF,34,G,Left,0,-,-
Josh Jacobs,STL,28,RD,Right,0,0,0
Mitchell Stephens,MTL,27,C,Right,23,2,1
Mikhail Maltsev,LAK,26,"C, LW",Left,0,0,0
Nathan Clurman,COL,26,RD,Right,0,0,0
Gavin Bayreuther,DAL,30,LD/RD,Left,0,0,0
Ivan Prosvetov,COL,25,G,Left,11,-,-
Linus Weissbach,BUF,26,"LW, RW",Left,0,0,0
Kyle Criscuolo,NJD,32,C,Right,0,0,0
Nikolas Brouillard,NYR,29,D,Left,0,0,0
John Leonard,UTA,25,"LW, RW",Left,6,1,0
Radim Zohorna,PIT,28,"LW, RW",Left,33,4,3
Corey Schueneman,COL,28,LD/RD,Left,0,0,0
Michael Hutchinson,DET,34,G,Right,1,-,-
Trevor Lewis,LAK,37,"RW, C",Right,82,8,8
Connor Carrick,SEA,30,RD,Right,0,0,0
Steven Kampfer,UTA,35,RD,Right,0,0,0
Trevor Carrick,ANA,29,LD,Left,0,0,0
Justin Bailey,SJS,29,RW,Right,59,5,9
William Lagesson,ANA,28,LD/RD,Left,40,0,4
Sean Day,TBL,26,LD,Left,0,0,0
Zach Sawchenko,VAN,26,G,Left,0,-,-
Matthew Phillips,WSH,26,"RW, C",Right,31,1,4
Garrett Pilon,OTT,26,C,Right,0,0,0
Bokondji Imama,OTT,27,LW,Left,6,0,0
Chase Priskie,WSH,28,RD,Right,0,0,0
Josh Currie,OTT,31,"RW, C",Right,0,0,0
Kole Lind,SEA,25,RW,Right,1,0,0
Eetu Mäkiniemi,SJS,25,G,Left,0,-,-
Chase Priskie,WSH,28,RD,Right,0,0,0
Josh Currie,OTT,31,"RW, C",Right,0,0,0
Kole Lind,SEA,25,RW,Right,1,0,0
Eetu Mäkiniemi,SJS,25,G,Left,0,-,-
Philippe Maillet,MTL,31,C,Left,0,0,0
David Gustafsson,WPG,24,"LW, C",Left,39,3,4
Riley Sutter,WSH,24,RW,Right,0,0,0
Cole Koepke,TBL,26,"LW, RW",Left,9,0,2
Marcus Bjork,CBJ,26,RD,Right,0,0,0
Jujhar Khaira,MIN,29,"LW, C",Left,1,0,0
Alex Petrovic,DAL,32,RD,Right,1,0,0
Matt Irwin,VAN,36,LD/RD,Left,0,0,0
Rasmus Asplund,FLA,26,"LW, C",Left,0,0,0
Maxime Lajoie,TOR,26,LD,Left,7,0,1
Justin Kirkland,UTA,27,"LW, RW",Left,2,0,0
Lucas Carlsson,FLA,26,LD,Left,0,0,0
Brett Murray,BUF,25,LW,Left,2,0,0
Evan Cormier,FLA,26,G,Left,0,-,-
Ryan Shea,PIT,27,LD,Left,31,1,0
Matt Luff,DET,27,RW,Right,0,0,0
Reilly Walsh,BOS,25,RD,Right,0,0,0
Scott Reedy,DAL,25,C,Right,0,0,0
Ryan McGregor,UTA,25,C,Left,0,0,0
Dmitri Samorukov,PIT,25,LD,Left,0,0,0
Collin Delia,WPG,30,G,Left,0,-,-
Declan Chisholm,MIN,24,LD/RD,Left,31,3,6
Shane Pinto,OTT,23,C,Right,41,9,18
Joey Abate,BOS,25,LW,Left,0,0,0
Calvin De Haan,TBL,33,LD/RD,Left,59,3,7
Adam Erne,EDM,29,"LW, RW",Left,24,1,1
Rourke Chartier,OTT,28,C,Left,37,2,1
Victor Mete,PHI,26,LD/RD,Left,1,0,0
Noah Gregor,TOR,25,"LW, RW",Left,63,6,6
Fredrik Karlström,DAL,26,C,Left,0,0,0
Matt Murray,DAL,26,G,Left,1,-,-
Joseph Cecconi,BUF,27,RD,Right,0,0,0
Jeremy Davies,BUF,27,LD,Left,0,0,0
Cameron Crotty,UTA,25,RD,Right,1,0,0
Benjamin Jones,CGY,25,C,Left,0,0,0
Ty Emberson,SJS,24,RD,Right,30,1,9
Riley Damiani,CGY,24,C,Right,0,0,0
Jacob Ingham,LAK,24,G,Left,0,-,-
Alec Regula,BOS,23,RD,Right,0,0,0
Kiefer Sherwood,NSH,29,"LW, RW",Right,68,10,17
Brady Keeper,MTL,28,RD,Right,0,0,0
